# # Wavenumber (/cm)    Fp/Fs
1.999932685482631882e+02 4.086682460708147314e-03
2.000066014328330937e+02 4.064025624330013658e-03
2.000199352062619482e+02 4.040450296597212186e-03
2.000332698686090396e+02 4.014314225693154867e-03
2.000466054199336270e+02 3.982220387906592989e-03
2.000599418602949697e+02 3.944995379002698768e-03
2.000732791897522986e+02 3.900638404092232007e-03
2.000866174083649582e+02 3.846611295602944246e-03
2.000999565161921794e+02 3.779200758493186582e-03
2.001132965132932782e+02 3.693085400732076459e-03
2.001266373997275139e+02 3.565017140296642545e-03
2.001399791755541457e+02 3.358168480800186474e-03
2.001533218408325183e+02 2.855155577921238488e-03
2.001666653956219193e+02 3.072746626895147670e-03
2.001800098399816079e+02 3.473608827836411825e-03
2.001933551739709287e+02 3.630435573548612248e-03
2.002067013976491978e+02 3.735351321659068340e-03
2.002200485110757313e+02 3.810869297319849879e-03
2.002333965143097885e+02 3.872016738379619859e-03
2.002467454074107422e+02 3.920984299769498041e-03
2.002600951904379087e+02 3.961520632452782478e-03
2.002734458634505756e+02 3.996448175934537439e-03
2.002867974265081443e+02 4.026468545355431014e-03
2.003001498796699025e+02 4.052597059163659012e-03
2.003135032229952230e+02 4.075291180597755483e-03
2.003268574565434221e+02 4.095259258816624781e-03
2.003402125803738443e+02 4.112871936033154346e-03
2.003535685945458624e+02 4.128748171688175622e-03
2.003669254991188495e+02 4.142756146342457292e-03
2.003802832941521217e+02 4.155271796805635673e-03
2.003936419797050519e+02 4.166604069479469021e-03
2.004070015558370415e+02 4.176772090950249539e-03
2.004203620226074065e+02 4.186041440340547599e-03
2.004337233800755769e+02 4.194388250734442172e-03
2.004470856283008970e+02 4.202032275215832405e-03
2.004604487673427968e+02 4.208954592185174155e-03
2.004738127972606208e+02 4.215289620338080918e-03
2.004871777181137702e+02 4.221104363524905319e-03
2.005005435299616465e+02 4.226434794692811824e-03
2.005139102328636511e+02 4.231325494387606564e-03
2.005272778268791853e+02 4.235837735796317213e-03
2.005406463120676506e+02 4.240003468923588328e-03
2.005540156884884482e+02 4.243825612605137305e-03
2.005673859562010080e+02 4.247402166943779929e-03
2.005807571152647597e+02 4.250685236172033026e-03
2.005941291657391048e+02 4.253742913539628086e-03
2.006075021076835014e+02 4.256588605800072818e-03
2.006208759411573226e+02 4.259224476362875184e-03
2.006342506662200549e+02 4.261699513827498648e-03
2.006476262829311565e+02 4.263996771978321478e-03
2.006610027913500005e+02 4.266142756624597722e-03
2.006743801915360734e+02 4.268150649816730008e-03
2.006877584835488619e+02 4.270028084089410279e-03
2.007011376674477674e+02 4.271793601249834933e-03
2.007145177432922765e+02 4.273446661822241296e-03
2.007278987111418189e+02 4.274995968186688124e-03
2.007412805710558814e+02 4.276462366514814130e-03
2.007546633230939506e+02 4.277827206739976372e-03
2.007680469673154846e+02 4.279120597372490856e-03
2.007814315037799702e+02 4.280344448284111383e-03
2.007948169325468939e+02 4.281492576232067727e-03
2.008082032536757424e+02 4.282579605873236030e-03
2.008215904672260024e+02 4.283600626313719024e-03
2.008349785732571320e+02 4.284569311542371986e-03
2.008483675718287031e+02 4.285484446904895030e-03
2.008617574630001741e+02 4.286347858893742833e-03
2.008751482468310314e+02 4.287169054480640014e-03
2.008885399233808187e+02 4.287943324169741187e-03
2.009019324927090508e+02 4.288679518390443521e-03
2.009153259548752146e+02 4.289377528387336089e-03
2.009287203099388535e+02 4.290038813255681906e-03
2.009421155579595393e+02 4.290667728373731733e-03
2.009555116989967303e+02 4.291263693390597565e-03
2.009689087331099984e+02 4.291829632008587435e-03
2.009823066603588870e+02 4.292368082659280860e-03
2.009957054808029113e+02 4.292879029431131456e-03
2.010091051945016432e+02 4.293364301933613562e-03
2.010225058015146260e+02 4.293826224190187835e-03
2.010359073019013749e+02 4.294265035456178159e-03
2.010493096957214902e+02 4.294682619237605824e-03
2.010627129830345154e+02 4.295078945447092927e-03
2.010761171639000509e+02 4.295456924362869681e-03
2.010895222383776684e+02 4.295813530971642411e-03
2.011029282065268831e+02 4.296153323471757664e-03
2.011163350684073237e+02 4.296475619738518437e-03
2.011297428240785621e+02 4.296778753941531831e-03
2.011431514736001418e+02 4.297061639849351911e-03
2.011565610170317200e+02 4.297317770580450294e-03
2.011699714544328685e+02 4.297520807071907555e-03
2.011833827858631594e+02 4.297562710245477445e-03
2.011967950113821928e+02 4.297927564876831072e-03
2.012102081310496260e+02 4.298275623573977015e-03
2.012236221449250309e+02 4.298524240944614702e-03
2.012370370530680077e+02 4.298740430674345692e-03
2.012504528555382137e+02 4.298941762373310015e-03
2.012638695523952492e+02 4.299129656147196964e-03
2.012772871436987145e+02 4.299304890721054526e-03
2.012907056295083237e+02 4.299467176954997923e-03
2.013041250098836201e+02 4.299619153293485728e-03
2.013175452848842895e+02 4.299761123926319761e-03
2.013309664545699604e+02 4.299892404033384477e-03
2.013443885190002618e+02 4.300014558098251213e-03
2.013578114782348507e+02 4.300126511132466682e-03
2.013712353323334128e+02 4.300229848132709927e-03
2.013846600813555483e+02 4.300323272666575075e-03
2.013980857253609997e+02 4.300407443147752883e-03
2.014115122644093674e+02 4.300482806660152306e-03
2.014249396985603369e+02 4.300546929756184945e-03
2.014383680278735653e+02 4.300602327633431393e-03
2.014517972524087384e+02 4.300647695159255136e-03
2.014652273722255700e+02 4.300682163331701578e-03
2.014786583873836889e+02 4.300706585305874574e-03
2.014920902979428661e+02 4.300718808962529158e-03
2.015055231039627301e+02 4.300719069782915280e-03
2.015189568055029667e+02 4.300707311502700338e-03
